stat_type,key,accident_count
municipality,東茨城郡東海町,1
municipality,東茨城郡磯浜町,1
municipality,東茨城郡茨城町,6
municipality,東茨城郡鳥...,1
municipality,東蒲原郡賀町,1
municipality,東蒲原郡阿賀町,8
municipality,東近江市,16
municipality,東金市,9
municipality,東関東自動...,1
municipality,杵島郡白石町,1
municipality,杵築市,2
municipality,松前郡福島町,1
municipality,松原市,15
municipality,松戸市,62
municipality,松本市,23
municipality,松浦市,2
municipality,松阪市,15
municipality,板橋区,116
municipality,枕崎市,2
municipality,枚方市,49
municipality,枝幸郡枝幸町,3
municipality,枝幸郡浜頓別町,3
municipality,柏区,1
municipality,柏原市,2
municipality,柏崎市,25
municipality,柏市,54
municipality,柴田郡川崎町,12
municipality,柴田郡村,20
municipality,柴田郡東北...,1
municipality,柴田郡柴田町,2
municipality,栃木市,37
municipality,栗原市,18
municipality,栗東市,7
municipality,根室市,4
municipality,桐生市,5
municipality,桑名市,22
municipality,桜井市,1
municipality,桜川市,6
municipality,桧山郡上ノ国町,1
municipality,桧山郡厚沢部町,1
municipality,桶川市,17
municipality,榛原郡吉田町,3
municipality,榛原郡川根本町,2
municipality,様似群様似町,1
municipality,様似郡様似町,3
municipality,標津郡中標津町,4
municipality,横手市,19
municipality,横浜市,1097
municipality,横浜氏南区,1
municipality,横浜町,1
municipality,横須賀市,40
municipality,樺戸郡新十津川町,6
municipality,樺戸郡月形町,3
municipality,樺戸郡浦臼町,1
municipality,橋本市,1
municipality,橿原市,2
municipality,武蔵村,5
municipality,武蔵野市,46
municipality,武雄市,8
municipality,比企郡ときがわ町,1
municipality,比企郡吉見町,2
municipality,比企郡小川町,3
municipality,比企郡嵐山町,5
municipality,比企郡川島町,11
municipality,比企郡滑川町,2
municipality,比企郡鳩山町,1
municipality,気仙沼市,14
municipality,気仙郡住田町,2
municipality,水俣市,4
municipality,水戸市,192
municipality,氷見市,3
municipality,永平寺町,1
municipality,江別市,26
municipality,江南市,2
municipality,江戸川区,72
municipality,江東区,160
municipality,池田市,13
municipality,沖縄市,14
municipality,沖縄県宜野湾市,1
municipality,沖縄県石垣市,1
municipality,沖縄県那覇市,1
municipality,沙流郡日高町,15
municipality,河内郡上三川町,9
municipality,河内長野市,13
municipality,河北町,1
municipality,河北郡内灘町,3
municipality,河北郡津幡町,4
municipality,河東区,1
municipality,河東郡上士幌町,3
municipality,河東郡音更町,13
municipality,河東郡鹿追町,4
municipality,河沼郡会津坂下町,4
municipality,河沼郡柳津町,2
municipality,河沼郡湯川村,1
municipality,河西郡中札内村,1
municipality,河西郡更別村,2
municipality,河西郡芽室町,8
municipality,河西郡都染町,1
municipality,沼津市,48
municipality,沼田市,14
municipality,泉佐野市,20
municipality,泉北郡忠岡町,2
municipality,泉区,1
municipality,泉南市,6
municipality,泉南郡岬町,1
municipality,泉南郡田尻町,1
municipality,泉大津なぎさ町,1
municipality,泉大津市,9
municipality,泰野氏八沢...,1
municipality,洋光台駅タ...,1
municipality,洋野町,2
municipality,津久見市,1
municipality,津久見６４...,1
municipality,津山市,1
municipality,津島市,3
municipality,津市,19
municipality,洲本市,1
municipality,流山市,9
municipality,浅口市,2
municipality,浜松市,159
municipality,浦安市,24
municipality,浦安舞浜２...,1
