"調査年 コード","調査年","地域 コード","地域","/項目","A6103_流出人口（県内他市区町村で従業・通学している人口）【人】","注釈"
"2020100000","2020年度","07303","福島県 国見町","","2,394",""
"2020100000","2020年度","07308","福島県 川俣町","","2,220",""
"2020100000","2020年度","07322","福島県 大玉村","","3,200",""
"2020100000","2020年度","07342","福島県 鏡石町","","3,930",""
"2020100000","2020年度","07344","福島県 天栄村","","1,642",""
"2020100000","2020年度","07362","福島県 下郷町","","939",""
"2020100000","2020年度","07364","福島県 檜枝岐村","","7",""
"2020100000","2020年度","07367","福島県 只見町","","186",""
"2020100000","2020年度","07368","福島県 南会津町","","821",""
"2020100000","2020年度","07402","福島県 北塩原村","","621",""
"2020100000","2020年度","07405","福島県 西会津町","","727",""
"2020100000","2020年度","07407","福島県 磐梯町","","863",""
"2020100000","2020年度","07408","福島県 猪苗代町","","2,250",""
"2020100000","2020年度","07421","福島県 会津坂下町","","3,786",""
"2020100000","2020年度","07422","福島県 湯川村","","1,074",""
"2020100000","2020年度","07423","福島県 柳津町","","669",""
"2020100000","2020年度","07444","福島県 三島町","","219",""
"2020100000","2020年度","07445","福島県 金山町","","79",""
"2020100000","2020年度","07446","福島県 昭和村","","57",""
"2020100000","2020年度","07447","福島県 会津美里町","","5,250",""
"2020100000","2020年度","07461","福島県 西郷村","","4,525",""
"2020100000","2020年度","07464","福島県 泉崎村","","1,676",""
"2020100000","2020年度","07465","福島県 中島村","","1,749",""
"2020100000","2020年度","07466","福島県 矢吹町","","4,309",""
"2020100000","2020年度","07481","福島県 棚倉町","","3,044",""
"2020100000","2020年度","07482","福島県 矢祭町","","868",""
"2020100000","2020年度","07483","福島県 塙町","","1,516",""
"2020100000","2020年度","07484","福島県 鮫川村","","813",""
"2020100000","2020年度","07501","福島県 石川町","","2,991",""
"2020100000","2020年度","07502","福島県 玉川村","","2,058",""
"2020100000","2020年度","07503","福島県 平田村","","1,497",""
"2020100000","2020年度","07504","福島県 浅川町","","1,880",""
"2020100000","2020年度","07505","福島県 古殿町","","993",""
"2020100000","2020年度","07521","福島県 三春町","","4,872",""
"2020100000","2020年度","07522","福島県 小野町","","1,916",""
"2020100000","2020年度","07541","福島県 広野町","","1,210",""
"2020100000","2020年度","07542","福島県 楢葉町","","663",""
"2020100000","2020年度","07543","福島県 富岡町","","504",""
"2020100000","2020年度","07544","福島県 川内村","","186",""
"2020100000","2020年度","07545","福島県 大熊町","","22",""
"2020100000","2020年度","07546","福島県 双葉町","","0",""
"2020100000","2020年度","07547","福島県 浪江町","","168",""
"2020100000","2020年度","07548","福島県 葛尾村","","52",""
"2020100000","2020年度","07561","福島県 新地町","","1,666",""
"2020100000","2020年度","07564","福島県 飯舘村","","125",""
"2020100000","2020年度","08201","茨城県 水戸市","","35,546",""
"2020100000","2020年度","08202","茨城県 日立市","","15,077",""
"2020100000","2020年度","08203","茨城県 土浦市","","24,264",""
"2020100000","2020年度","08204","茨城県 古河市","","9,172",""
"2020100000","2020年度","08205","茨城県 石岡市","","15,074",""
"2020100000","2020年度","08207","茨城県 結城市","","6,484",""
"2020100000","2020年度","08208","茨城県 龍ケ崎市","","13,109",""
"2020100000","2020年度","08210","茨城県 下妻市","","9,899",""
"2020100000","2020年度","08211","茨城県 常総市","","12,475",""
"2020100000","2020年度","08212","茨城県 常陸太田市","","12,435",""
"2020100000","2020年度","08214","茨城県 高萩市","","6,709",""
"2020100000","2020年度","08215","茨城県 北茨城市","","5,648",""
"2020100000","2020年度","08216","茨城県 笠間市","","15,887",""
"2020100000","2020年度","08217","茨城県 取手市","","11,501",""
"2020100000","2020年度","08219","茨城県 牛久市","","18,614",""
"2020100000","2020年度","08220","茨城県 つくば市","","30,351",""
"2020100000","2020年度","08221","茨城県 ひたちなか市","","31,354",""
"2020100000","2020年度","08222","茨城県 鹿嶋市","","8,864",""
"2020100000","2020年度","08223","茨城県 潮来市","","6,306",""
"2020100000","2020年度","08224","茨城県 守谷市","","10,855",""
"2020100000","2020年度","08225","茨城県 常陸大宮市","","7,269",""
"2020100000","2020年度","08226","茨城県 那珂市","","16,938",""
"2020100000","2020年度","08227","茨城県 筑西市","","14,183",""
"2020100000","2020年度","08228","茨城県 坂東市","","9,710",""
"2020100000","2020年度","08229","茨城県 稲敷市","","6,800",""
"2020100000","2020年度","08230","茨城県 かすみがうら市","","12,166",""
"2020100000","2020年度","08231","茨城県 桜川市","","8,342",""
"2020100000","2020年度","08232","茨城県 神栖市","","6,365",""
"2020100000","2020年度","08233","茨城県 行方市","","6,945",""
"2020100000","2020年度","08234","茨城県 鉾田市","","8,302",""
"2020100000","2020年度","08235","茨城県 つくばみらい市","","11,394",""
"2020100000","2020年度","08236","茨城県 小美玉市","","11,855",""
"2020100000","2020年度","08302","茨城県 茨城町","","9,410",""
"2020100000","2020年度","08309","茨城県 大洗町","","3,958",""
"2020100000","2020年度","08310","茨城県 城里町","","5,659",""
"2020100000","2020年度","08341","茨城県 東海村","","10,688",""
