OCCURRENCE_DATE_AND_TIME,WEATHER,LOCATION,LATITUDE,LONGITUDE,ACCIDENT_TYPE_(CATEGORY),ROAD_TYPE,SPEED_LIMIT_ON_ROAD,VEHICLE_BEHAVIOR_AT_ACCIDENT,ACCIDENT_LOCATION,VEHICLE_1:_BODY_TYPE,Area
2019-01-21 18:21:00,晴れ,松戸市松戸新田１７番地,35.77813,139.91093,車両故障,道路(その他),40.0,停車,バス停留所,リヤーエンジン,松戸市
2019-01-21 21:34:00,晴れ,浦安市入船３−４４８番地,35.64615,139.9149,車両故障,道路(その他),50.0,直進(定速),車道,リヤーエンジン,浦安市
2019-01-22 05:15:00,晴れ,千葉市中央区生実町曽我ＩＣ入口近く,35.56416,140.14848,車両故障,道路(その他),60.0,直進(加速),車道,バン,千葉市
2019-01-22 05:41:00,晴れ,浜松市中区西浅田２丁目６−１９,34.71087,137.72612,死傷,その他の場所,,後退,その他,箱型,浜松市
2019-01-22 05:44:00,晴れ,水戸市酒門町１９４４−４９,36.35102,140.49062,火災,道路(その他),50.0,直進(定速),車道,トラクタ,水戸市
2019-01-22 06:15:00,曇,札幌市北区屯田６条１２丁目,43.13672,141.31563,車両故障,その他の場所,,停車,その他,リヤーエンジン,札幌市
2019-01-22 08:00:00,曇,滝川市二の坂４２番地,43.58176,141.91429,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,滝川市
2019-01-22 08:20:00,晴れ,横浜市中区下町付近,35.44469,139.6422,車両故障,道路(自動車専用道路等),80.0,直進(定速),車道,リヤーエンジン,横浜市
2019-01-22 09:10:00,晴れ,牛久市田宮３,35.9795,140.14058,死傷,道路(その他),40.0,直進(加速),交差点,トラクタ,牛久市
2019-01-22 10:10:00,晴れ,銚子市小長１５０４番地,35.76373,140.71002,健康起因,道路(その他),60.0,直進(定速),車道,ダンプ,銚子市
2019-01-22 13:33:00,晴れ,君津市平山市１０３２番地,35.2701,140.07191,転覆,道路(その他),50.0,直進(減速),車道,トラクタ,君津市
2019-01-22 13:38:00,晴れ,裾野市金沢　東名高速道路上り９４．５キロポスト,35.21997,138.90115,車両故障,道路(高速自動車国道),100.0,直進(定速),車道,リヤーエンジン,裾野市
